,source_taxon_name,latitude,longitude,ISO_A2,NAME_ES,searched_taxon_name,target_taxon_name,country_name,Estatus.Taxonómico,Nombre.Válido,Autoridad,Rango.Taxonómico,Familia,Forma.biológica
23727,Xylocopa sonorina,37.31476515,-121.9975007,US,Estados Unidos,Jacaranda,Jacaranda,Estados Unidos,Aceptado,Jacaranda ,Juss.,Género,Bignoniaceae,Árbol|Arbusto
23766,Xylocopa sonorina,32.886753,-97.282958,US,Estados Unidos,Justicia americana,Justicia americana,Estados Unidos,Aceptado,Justicia americana,(L.) Vahl,Especie,Acanthaceae,Herbácea
23873,Xylocopa sonorina,38.52995333,-121.7629133,US,Estados Unidos,Knautia arvensis,Knautia arvensis,Estados Unidos|Reino Unido,Aceptado,Knautia arvensis,(L.) Coult.,Especie,Caprifoliaceae,Herbácea
23878,Xylocopa sonorina,38.53166667,-121.7611111,US,Estados Unidos,Kniphofia rooperi,Kniphofia rooperi,Estados Unidos,Aceptado,Kniphofia rooperi ,(T. Moore) Lem.,Especie,Asphodelaceae,Herbácea
23882,Xylocopa sonorina,37.66014264,-121.874207,US,Estados Unidos,Koelreuteria paniculata,Koelreuteria paniculata,Estados Unidos,Aceptado,Koelreuteria paniculata,Laxm.,Especie,Sapindaceae,Árbol
24069,Xylocopa sonorina,37.92378667,-122.036125,US,Estados Unidos,Lamiaceae,Lamiaceae,Canadá|Costa Rica|España|Estados Unidos|Francia|Grecia|México|Portugal,Aceptado,Lamiaceae,Martinov,Familia,Lamiaceae,
24097,Xylocopa sonorina,37.68262833,-121.7973783,US,Estados Unidos,Lamiaceae,Lamiaceae,Canadá|Costa Rica|España|Estados Unidos|Francia|Grecia|México|Portugal,Aceptado,Lamiaceae,Martinov,Familia,Lamiaceae,
24106,Xylocopa sonorina,37.79117167,-122.1869417,US,Estados Unidos,Lamiaceae,Lamiaceae,Canadá|Costa Rica|España|Estados Unidos|Francia|Grecia|México|Portugal,Aceptado,Lamiaceae,Martinov,Familia,Lamiaceae,
24115,Xylocopa sonorina,37.38765422,-121.9657726,US,Estados Unidos,Lamiaceae,Lamiaceae,Canadá|Costa Rica|España|Estados Unidos|Francia|Grecia|México|Portugal,Aceptado,Lamiaceae,Martinov,Familia,Lamiaceae,
24155,Xylocopa sonorina,37.31640645,-122.0425004,US,Estados Unidos,Lamiales,Lamiales,Estados Unidos|México,Aceptado,Lamiales,Bromhead,Orden,,
24158,Xylocopa sonorina,38.25168333,-121.9825533,US,Estados Unidos,Lamiales,Lamiales,Estados Unidos|México,Aceptado,Lamiales,Bromhead,Orden,,
24159,Xylocopa sonorina,37.88753,-122.0834195,US,Estados Unidos,Lamiales,Lamiales,Estados Unidos|México,Aceptado,Lamiales,Bromhead,Orden,,
